Name,Language,Sex,Age,Email,,,,,,
"Exercise, Banded Single Leg Palloff Press",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,6,weight,70,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Banded Single Leg Palloff Press",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,6,weight,70,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Banded Single Leg Palloff Press",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,6,weight,70,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Banded Single Leg Palloff Press",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Slant Board Squat",Set,1,reps,10,weight,16,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Slant Board Squat",Set,1,reps,10,weight,16,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Slant Board Squat",Set,1,reps,10,weight,16,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Barbell Lying Triceps Extension",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
"Exercise, Dumbbell Shoulder Back Raises",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
"Exercise, Barbell Lying Triceps Extension",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
"Exercise, Dumbbell Shoulder Back Raises",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
"Exercise, Barbell Lying Triceps Extension",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
"Exercise, Dumbbell Shoulder Back Raises",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week# 3, Day #1: Legs, Abs, Shoulders etc.",2023-06-15,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, T-Bar Row",Set,1,reps,10,weight,25,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,25,,,,
,,,,,,,,,,
"Exercise, T-Bar Row",Set,1,reps,10,weight,25,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,25,,,,
,,,,,,,,,,
"Exercise, T-Bar Row",Set,1,reps,10,weight,25,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,25,,,,
,,,,,,,,,,
