Name,Language,Sex,Age,Email,,,,,,
"Exercise, Seated Machine Row",Set,1,reps,8,weight,70,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Copenhagen Planks",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Machine Row",Set,1,reps,8,weight,70,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Copenhagen Planks",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Machine Row",Set,1,reps,8,weight,70,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Copenhagen Planks",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Machine Row",Set,1,reps,8,weight,70,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Copenhagen Planks",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,8,weight,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,8,weight,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,8,weight,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week #1, Day #4: Legs, Back, Triceps etc.",2023-05-15,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Close-Grip Pulldown",Set,1,reps,12,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,12,weight,33,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Close-Grip Pulldown",Set,1,reps,12,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,12,weight,33,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Close-Grip Pulldown",Set,1,reps,12,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,12,weight,33,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,15,weight,10,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week #1, Day #2 Shoulders, Glutes, Legs etc.",2023-05-12,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,155,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,155,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,155,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,155,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Glute Drive Machine",Set,1,reps,10,weight,180,,,,
,,,,,,,,,,
"Exercise, Dumbbell Incline Scarecrows",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
"Exercise, Glute Drive Machine",Set,1,reps,10,weight,180,,,,
,,,,,,,,,,
"Exercise, Dumbbell Incline Scarecrows",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
"Exercise, Glute Drive Machine",Set,1,reps,10,weight,180,,,,
,,,,,,,,,,
"Exercise, Dumbbell Incline Scarecrows",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,12,weight,33,,,,
,,,,,,,,,,
"Exercise, Face Pull",Set,1,reps,12,weight,38,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,12,weight,33,,,,
,,,,,,,,,,
"Exercise, Face Pull",Set,1,reps,12,weight,38,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,12,weight,33,,,,
,,,,,,,,,,
"Exercise, Face Pull",Set,1,reps,12,weight,38,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Thursday Morning: Chest, Shoulders, Back etc.",2023-05-11,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,8,weight,75,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,8,weight,75,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,8,weight,75,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,8,weight,75,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
"Exercise, Machine Shoulder Press",Set,1,reps,8,weight,20,,,,
,,,,,,,,,,
"Exercise, Machine Tricep Dip",Set,1,reps,12,weight,65,,,,
,,,,,,,,,,
"Exercise, Machine Shoulder Press",Set,1,reps,8,weight,20,,,,
,,,,,,,,,,
"Exercise, Machine Tricep Dip",Set,1,reps,10,weight,65,,,,
,,,,,,,,,,
"Exercise, Machine Shoulder Press",Set,1,reps,8,weight,20,,,,
,,,,,,,,,,
"Exercise, Machine Tricep Dip",Set,1,reps,10,weight,65,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Wednesday Morning: Shoulders, Legs, Chest etc.",2023-05-03,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,155,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,165,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,165,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Trap Bar Deadlift With High Handles",Set,1,reps,8,weight,165,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Incline Dumbbell Press",Set,1,reps,8,weight,20,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Incline Dumbbell Press",Set,1,reps,8,weight,20,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Incline Dumbbell Press",Set,1,reps,8,weight,20,,,,
,,,,,,,,,,
"Exercise, Bar Dip",Set,1,reps,5,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Roman Chair Leg Raises",Set,1,reps,12,weight,0,,,,
,,,,,,,,,,
"Exercise, Bar Dip",Set,1,reps,5,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Roman Chair Leg Raises",Set,1,reps,12,weight,0,,,,
,,,,,,,,,,
"Exercise, Bar Dip",Set,1,reps,5,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Roman Chair Leg Raises",Set,1,reps,12,weight,0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Deload Day #4: Legs, Abs, Glutes etc.",2023-05-01,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Leg Press",Set,1,reps,10,weight,100,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,15,weight,80,,,,
,,,,,,,,,,
"Exercise, Leg Press",Set,1,reps,10,weight,100,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,15,weight,80,,,,
,,,,,,,,,,
"Exercise, Leg Press",Set,1,reps,10,weight,100,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,15,weight,80,,,,
,,,,,,,,,,
"Exercise, Seated Machine Row",Set,1,reps,15,weight,40,,,,
,,,,,,,,,,
"Exercise, Copenhagen Planks",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Machine Row",Set,1,reps,15,weight,40,,,,
,,,,,,,,,,
"Exercise, Copenhagen Planks",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Machine Row",Set,1,reps,15,weight,40,,,,
,,,,,,,,,,
"Exercise, Copenhagen Planks",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,15,weight,27.5,,,,
,,,,,,,,,,
"Exercise, Decline Crunches",Set,1,reps,10,weight,0,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,15,weight,27.5,,,,
,,,,,,,,,,
"Exercise, Decline Crunches",Set,1,reps,10,weight,0,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,15,weight,27.5,,,,
,,,,,,,,,,
"Exercise, Decline Crunches",Set,1,reps,10,weight,0,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DELOAD Day #3: Legs, Glutes, Chest etc.",2023-04-30,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Goblet Squat",Set,1,reps,10,weight,30,,,,
,,,,,,,,,,
"Exercise, SL Hip Bridge",Set,1,reps,10,weight,0,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Goblet Squat",Set,1,reps,10,weight,30,,,,
,,,,,,,,,,
"Exercise, SL Hip Bridge",Set,1,reps,10,weight,0,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Goblet Squat",Set,1,reps,10,weight,30,,,,
,,,,,,,,,,
"Exercise, SL Hip Bridge",Set,1,reps,10,weight,0,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Glute Bridge Floor Press",Set,1,reps,10,weight,20,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Russian Twist",Set,1,reps,10,weight,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Glute Bridge Floor Press",Set,1,reps,10,weight,20,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Russian Twist",Set,1,reps,10,weight,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Glute Bridge Floor Press",Set,1,reps,10,weight,20,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Russian Twist",Set,1,reps,10,weight,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Prone W",Set,1,reps,10,weight,2.5,,,,
,,,,,,,,,,
"Exercise, Pullover",Set,1,reps,10,weight,20,,,,
,,,,,,,,,,
"Exercise, Dumbbell Prone W",Set,1,reps,10,weight,2.5,,,,
,,,,,,,,,,
"Exercise, Pullover",Set,1,reps,10,weight,20,,,,
,,,,,,,,,,
"Exercise, Dumbbell Prone W",Set,1,reps,10,weight,2.5,,,,
,,,,,,,,,,
"Exercise, Pullover",Set,1,reps,10,weight,20,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DELOAD Day #2: Abs, Shoulders, Triceps etc.",2023-04-29,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
"Exercise, Lying Windshield Wiper",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
"Exercise, Lying Windshield Wiper",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
"Exercise, Fixed Lat Pulldown Machine",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
"Exercise, Lying Windshield Wiper",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Cross Lateral Raises",Set,1,reps,12,weight,2.5,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Cross Lateral Raises",Set,1,reps,12,weight,2.5,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Cross Lateral Raises",Set,1,reps,12,weight,2.5,,,,
,,,,,,,,,,
"Exercise, Band Pull-Apart",Set,1,reps,15,weight,0,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Rope",Set,1,reps,10,weight,22.5,,,,
,,,,,,,,,,
"Exercise, Cable Palloff Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Rope",Set,1,reps,10,weight,22.5,,,,
,,,,,,,,,,
"Exercise, Cable Palloff Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Rope",Set,1,reps,10,weight,22.5,,,,
,,,,,,,,,,
"Exercise, Cable Palloff Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Deload #1: Legs, Chest, Glutes etc.",2023-04-27,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Single Leg Press Machine",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,12,weight,95,,,,
,,,,,,,,,,
"Exercise, Single Leg Press Machine",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,12,weight,95,,,,
,,,,,,,,,,
"Exercise, Single Leg Press Machine",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,12,weight,95,,,,
,,,,,,,,,,
"Exercise, Hip Abduction Machine",Set,1,reps,12,weight,60,,,,
,,,,,,,,,,
"Exercise, Hip Adduction Machine",Set,1,reps,12,weight,40,,,,
,,,,,,,,,,
"Exercise, Hip Abduction Machine",Set,1,reps,12,weight,60,,,,
,,,,,,,,,,
"Exercise, Hip Adduction Machine",Set,1,reps,12,weight,40,,,,
,,,,,,,,,,
"Exercise, Hip Abduction Machine",Set,1,reps,12,weight,60,,,,
,,,,,,,,,,
"Exercise, Hip Adduction Machine",Set,1,reps,12,weight,40,,,,
,,,,,,,,,,
"Exercise, Pec Deck",Set,1,reps,10,weight,40,,,,
,,,,,,,,,,
"Exercise, Rear Delt Deck Machine",Set,1,reps,10,weight,40,,,,
,,,,,,,,,,
"Exercise, Pec Deck",Set,1,reps,10,weight,40,,,,
,,,,,,,,,,
"Exercise, Rear Delt Deck Machine",Set,1,reps,10,weight,40,,,,
,,,,,,,,,,
"Exercise, Pec Deck",Set,1,reps,10,weight,40,,,,
,,,,,,,,,,
"Exercise, Rear Delt Deck Machine",Set,1,reps,10,weight,40,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Tuesday Morning: Shoulders, Legs, Chest etc.",2023-04-25,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Glute Drive Machine",Set,1,reps,8,weight,180,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Incline Scarecrows",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Glute Drive Machine",Set,1,reps,8,weight,180,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Incline Scarecrows",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Glute Drive Machine",Set,1,reps,8,weight,180,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Incline Scarecrows",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Glute Drive Machine",Set,1,reps,8,weight,180,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Dumbbell Incline Scarecrows",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Incline Dumbbell Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Incline Dumbbell Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Incline Dumbbell Press",Set,1,reps,10,weight,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Leg Raise",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Leg Raise",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,10,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Leg Raise",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Monday Morning: Legs, Back, Triceps etc.",2023-04-24,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Angled Leg Press Machine",Set,1,reps,8,weight,120,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Angled Leg Press Machine",Set,1,reps,8,weight,120,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Angled Leg Press Machine",Set,1,reps,8,weight,120,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Angled Leg Press Machine",Set,1,reps,8,weight,125,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bosu Crunches",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Close-Grip Pulldown",Set,1,reps,10,weight,66,,,,
,,,,,,,,,,
"Exercise, Tricep Pushdown With Bar",Set,1,reps,15,weight,33,,,,
,,,,,,,,,,
"Exercise, Iso Lateral Row Machine ",Set,1,weight,50,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Calf Raise",Set,1,reps,12,weight,55,,,,
,,,,,,,,,,
"Exercise, Iso Lateral Row Machine ",Set,1,weight,50,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Calf Raise",Set,1,reps,12,weight,55,,,,
,,,,,,,,,,
"Exercise, Iso Lateral Row Machine ",Set,1,weight,50,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Seated Calf Raise",Set,1,reps,12,weight,55,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Friday Morning: Legs, Shoulders, Abs etc.",2023-04-21,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Bulgarian Split Squat",Set,1,reps,8,weight,55,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Good Morning - Hamstring Focus",Set,1,reps,10,weight,75,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Smith Machine Good Morning - Hamstring Focus",Set,1,reps,10,weight,75,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
"Exercise, Smith Machine Good Morning - Hamstring Focus",Set,1,reps,10,weight,75,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,10,,,,
,,,,,,,,,,
